time,sea_water_practical_salinity_ctd,sea_water_practical_salinity_ctd_qc_agg,z
UTC,1e-3,,m
2022-01-04T02:34:12Z,NaN,2,0.0
2022-01-04T02:38:09Z,30.5254,1,0.0
2022-01-04T02:38:12Z,NaN,2,0.0
2022-01-04T02:42:09Z,30.531,1,0.0
2022-01-04T02:42:12Z,NaN,2,0.0
2022-01-04T02:46:09Z,30.5325,1,0.0
2022-01-04T02:46:12Z,NaN,2,0.0
2022-01-04T02:50:09Z,30.5221,1,0.0
2022-01-04T02:50:12Z,NaN,2,0.0
2022-01-04T02:54:09Z,30.5187,1,0.0
2022-01-04T02:54:12Z,NaN,2,0.0
2022-01-04T02:58:09Z,30.5045,1,0.0
2022-01-04T02:58:12Z,NaN,2,0.0
2022-01-04T03:02:09Z,30.5007,1,0.0
2022-01-04T03:02:12Z,NaN,2,0.0
2022-01-04T03:06:09Z,30.5211,1,0.0
2022-01-04T03:06:12Z,NaN,2,0.0
2022-01-04T03:10:09Z,30.5085,1,0.0
2022-01-04T03:10:12Z,NaN,2,0.0
2022-01-04T03:14:09Z,30.5138,1,0.0
2022-01-04T03:14:12Z,NaN,2,0.0
2022-01-04T03:18:09Z,30.5058,1,0.0
2022-01-04T03:18:12Z,NaN,2,0.0
2022-01-04T03:22:09Z,30.507,1,0.0
2022-01-04T03:22:12Z,NaN,2,0.0
2022-01-04T03:26:09Z,30.5072,1,0.0
2022-01-04T03:26:12Z,NaN,2,0.0
2022-01-04T03:30:09Z,30.4936,1,0.0
2022-01-04T03:30:12Z,NaN,2,0.0
2022-01-04T03:34:09Z,30.5107,1,0.0
2022-01-04T03:34:12Z,NaN,2,0.0
2022-01-04T03:38:09Z,30.5154,1,0.0
2022-01-04T03:38:12Z,NaN,2,0.0
2022-01-04T03:42:09Z,30.5263,1,0.0
2022-01-04T03:42:12Z,NaN,2,0.0
2022-01-04T03:46:09Z,30.5262,1,0.0
2022-01-04T03:46:12Z,NaN,2,0.0
2022-01-04T03:50:09Z,30.5246,1,0.0
2022-01-04T03:50:12Z,NaN,2,0.0
2022-01-04T03:54:09Z,30.4938,1,0.0
2022-01-04T03:54:12Z,NaN,2,0.0
2022-01-04T03:58:09Z,30.4884,1,0.0
2022-01-04T03:58:12Z,NaN,2,0.0
2022-01-04T04:02:09Z,30.5164,1,0.0
2022-01-04T04:02:12Z,NaN,2,0.0
2022-01-04T04:06:09Z,30.5167,1,0.0
2022-01-04T04:06:12Z,NaN,2,0.0
2022-01-04T04:10:09Z,30.5185,1,0.0
2022-01-04T04:10:12Z,NaN,2,0.0
2022-01-04T04:14:09Z,30.5123,1,0.0
2022-01-04T04:14:12Z,NaN,2,0.0
