time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-16T19:46:12Z,NaN,2,0
2021-09-16T19:46:25Z,3.22,1,0
2021-09-16T19:50:12Z,NaN,2,0
2021-09-16T19:50:25Z,3.21,1,0
2021-09-16T19:54:12Z,NaN,2,0
2021-09-16T19:54:25Z,3.21,1,0
2021-09-16T19:58:12Z,NaN,2,0
2021-09-16T19:58:25Z,3.19,1,0
2021-09-16T20:02:12Z,NaN,2,0
2021-09-16T20:02:25Z,3.27,1,0
2021-09-16T20:06:12Z,NaN,2,0
2021-09-16T20:06:25Z,3.28,1,0
2021-09-16T20:10:12Z,NaN,2,0
2021-09-16T20:10:25Z,3.21,1,0
2021-09-16T20:14:12Z,NaN,2,0
2021-09-16T20:14:25Z,3.23,1,0
2021-09-16T20:18:12Z,NaN,2,0
2021-09-16T20:18:25Z,3.26,1,0
2021-09-16T20:22:12Z,NaN,2,0
2021-09-16T20:22:25Z,3.25,1,0
2021-09-16T20:26:12Z,NaN,2,0
2021-09-16T20:26:25Z,3.23,1,0
2021-09-16T20:30:12Z,NaN,2,0
2021-09-16T20:30:25Z,3.25,1,0
2021-09-16T20:34:12Z,NaN,2,0
2021-09-16T20:34:25Z,3.24,1,0
2021-09-16T20:38:12Z,NaN,2,0
2021-09-16T20:38:25Z,3.26,1,0
2021-09-16T20:42:12Z,NaN,2,0
2021-09-16T20:42:25Z,3.21,1,0
2021-09-16T20:46:12Z,NaN,2,0
2021-09-16T20:46:25Z,3.26,1,0
2021-09-16T20:50:12Z,NaN,2,0
2021-09-16T20:50:25Z,3.24,1,0
2021-09-16T20:54:12Z,NaN,2,0
2021-09-16T20:54:25Z,3.23,1,0
2021-09-16T20:58:12Z,NaN,2,0
2021-09-16T20:58:25Z,3.22,1,0
2021-09-16T21:02:12Z,NaN,2,0
2021-09-16T21:02:25Z,3.28,1,0
2021-09-16T21:06:12Z,NaN,2,0
2021-09-16T21:06:25Z,3.22,1,0
2021-09-16T21:10:12Z,NaN,2,0
