#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 00 26 999 99.0 99.0  0.93 18.18  8.58 243 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 03 00 56 999 99.0 99.0  0.95 18.18  9.11 238 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 01 26 999 99.0 99.0  0.94 20.00  9.12 240 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 01 56 999 99.0 99.0  1.01 18.18  9.57 241 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 02 26 999 99.0 99.0  0.90 18.18  8.50 240 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 02 56 999 99.0 99.0  0.90 18.18  7.86 238 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 03 26 999 99.0 99.0  1.05 18.18  9.45 245 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 03 56 999 99.0 99.0  1.01 18.18  9.10 240 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 04 26 999 99.0 99.0  1.01 18.18  9.25 244 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 04 56 999 99.0 99.0  0.97 18.18  9.12 248 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 05 26 999 99.0 99.0  0.92 18.18  9.04 248 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 05 56 999 99.0 99.0  0.97 18.18  9.06 247 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 06 26 999 99.0 99.0  0.93 18.18  8.85 245 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 06 56 999 99.0 99.0  0.86 18.18  8.81 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 07 26 999 99.0 99.0  0.91 18.18  9.57 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 07 56 999 99.0 99.0  0.88 18.18  9.12 250 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 08 26 999 99.0 99.0  0.95 18.18  9.48 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 08 56 999 99.0 99.0  0.88 16.67  9.22 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 09 26 999 99.0 99.0  0.89 18.18  9.47 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 09 56 999 99.0 99.0  0.92 18.18  9.87 258 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 10 26 999 99.0 99.0  0.98 15.38 10.23 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 10 56 999 99.0 99.0  0.91 16.67 10.21 251 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 11 26 999 99.0 99.0  0.98 16.67 10.53 248 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 11 56 999 99.0 99.0  1.08 15.38 11.08 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 12 26 999 99.0 99.0  1.01 16.67 10.78 255 9999.0 999.0  15.3 999.0 99.0 99.00
